song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,yearly_streams,artist_ids
DÁKITI,"Bad Bunny, JHAYCO","reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,4MzXwWMhyBbmu6hOcLVD49,798144862,"4q3ewBCX7sLwd24euuV69X, 6nVcHLIgY5pE2YCl8ubca1"
Blinding Lights,The Weeknd,,,After Hours,2020-03-20,0VjIjW4GlUZAMYd2vXMi3b,893467091,1Xyo4u8uXC1ZmMpatF05PJ
BICHOTA,KAROL G,"reggaeton, latin, urbano latino",Latin,KG0516,2021-03-26,1WvrDdouh6C51In1SdATbq,284489024,790FomKkXshlbRYZFtlgla
Mood (feat. iann dior),"24kGoldn, iann dior",melodic rap,Hip Hop,El Dorado,2021-03-26,4jPy3l0RUwlUI9T5XHBW2m,644377280,"6fWVd57NKTalqvmjRd2t8Z, 6ASri4ePR7RlsvIQgWPJpS"
positions,Ariana Grande,pop,Pop,Positions,2020-10-30,35mvY5S1H3J2QZyna3TFe0,509078228,66CXWjxzNUsdJxJ2JdwvnR
34+35,Ariana Grande,pop,Pop,Positions,2020-10-30,6Im9k8u9iIzKMrmV7BWtlF,349656927,66CXWjxzNUsdJxJ2JdwvnR
"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money, Gunna, Don Toliver, NAV",melodic rap,Hip Hop,B4 The Storm,2020-08-28,7hxHWCCAIIxFLCzvDgnQHX,416457801,"6MPCFvOQv5cIGfw3jODMF0, 2hlmm7s2ICUX0LVIhVFlZQ, 4Gso3d4CscCijv0lmajZWs, 7rkW85dBwwrJtlHRDkJDAC"
LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA","reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,2XIc1pqjXV3Cr2BQUGNBck,399529719,"4q3ewBCX7sLwd24euuV69X, 7ltDVBr6mKbRvohxheJ9h1"
Dynamite,BTS,k-pop,Pop,BE,2020-11-20,5QDLhrAOJJdNAmCTJ8xMyW,609302674,3Nrfpe0tUJi4K4DXYWgMUX
Hawái,Maluma,"reggaeton, latin, urbano latino",Latin,PAPI JUANCHO,2020-08-21,1yoMvmasuxZfqHEipJhRbp,295129667,1r4hJ1h58CWwUQe3MxPuau
Levitating (feat. DaBaby),"Dua Lipa, DaBaby","pop, ",Pop,Future Nostalgia,2020-03-27,5nujrmhLynf4yMoMtj8AQF,977464260,"6M2wZ9GZgrQXHCFfjv46we, 4r63FhuTkUYltbVAg5TQnk"
Watermelon Sugar,Harry Styles,,,Fine Line,2019-12-13,6UelLqGlWMcVH1E5c4H7lY,587605374,6KImCVD70vtIoJWnq6nGn3
Roses - Imanbek Remix,"SAINt JHN, Imanbek",slap house,Electronic,While The World Was Burning,2020-11-20,0zLCBJZSiELJf02ucPP9wb,329515640,"0H39MdGGX6dbnnQPt6NQkZ, 5rGrDvrLOV2VV8SCFVGWlj"
Whoopty,CJ,dembow,Latin,Loyalty Over Royalty,2021-02-19,1t9WgS8FN0534tLBRwbaxO,303587412,7arQA31aZVS8yS6zUveWzb
Anyone,Justin Bieber,,,Justice,2021-03-19,2WnAKZefdRHxtBEkRjFOHC,293543796,1uNFoZAHBGtllmzznpCI3s
WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",,,WAP (feat. Megan Thee Stallion),2020-08-07,4Oun2ylbjFKMPTiaSbbCih,278017272,"4kYSro6naA4h99UJvo89HB, 181bsRPaVXVlUKXrxwZfHK"
Dance Monkey,Tones And I,,,Welcome To The Madhouse (Deluxe),2021-07-16,2N8m6CYs74qQO4mjVcXO30,421691469,2NjfBq1NflQcKSeiDooVjY
Therefore I Am,Billie Eilish,,,Happier Than Ever,2021-07-30,20R4HfKloPKgXDqU7UKk3x,253192019,6qqNVTkY8uBg9cP3Jd7DAH
WITHOUT YOU,The Kid LAROI,,,F*CK LOVE (SAVAGE),2020-11-06,27OeeYzk6klgBh83TSvGMA,484908740,2tIP7SsRs7vjIcLrU85W8J
What You Know Bout Love,Pop Smoke,"brooklyn drill, drill, new york drill",Hip Hop,Shoot For The Stars Aim For The Moon,2020-07-03,1tkg4EHVoqnhR6iFEXb60y,284785395,0eDvMgVFoNV3TpwtrVCoTj
HOLIDAY,Lil Nas X,,,HOLIDAY,2020-11-13,6zFMeegAMYQo0mt8rXtrli,157455446,7jVv8c5Fj3E9VhNjxT4snq
ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",melodic rap,Hip Hop,BLAME IT ON BABY,2020-04-17,7ytR5pFWmSjzHJIeQkgog4,301139992,"4r63FhuTkUYltbVAg5TQnk, 757aE44tKEUQEqRuT6GnEB"
Head & Heart (feat. MNEK),"Joel Corry, MNEK","dance pop, ",Pop,Head & Heart (feat. MNEK),2020-07-03,6cx06DFPPHchuUAcTxznu9,392872300,"6DgP9otnZw5z6daOntINxp, 7uMh23xWiuR7zsNkuNcm2G"
Monster (Shawn Mendes & Justin Bieber),"Shawn Mendes, Justin Bieber","pop, ",Pop,Wonder,2020-12-04,1HbA4N1MiOsPthALesGFR1,157480070,"7n2wHs1TKAczGzO7Dd2rGr, 1uNFoZAHBGtllmzznpCI3s"
Reloj,"Rauw Alejandro, Anuel AA","reggaeton, urbano latino, trap latino, latin",Latin,Afrodisíaco,2020-11-13,4loQgPwJHocL3dFwLfjb1J,231761101,"1mcTU81TzQhprhouKaTkpq, 2R21vXR83lH98kGeO99Y66"
Afterglow,Ed Sheeran,soft pop,Pop,Afterglow,2020-12-21,0E4Y1XIbs8GrAT1YqVy6dq,131389065,6eUKZXaKkcviH0Ku9w2n3V
Hecha Pa' Mi,Boza,"reggaeton, urbano latino",Latin,Más Negro Que Rojo,2020-07-31,3VvA1wSxukMLsvXoXtlwWx,280822291,2NfSBtmWe7oPw1EmetJVso
Recairei - Ao Vivo,Os Barões Da Pisadinha,"piseiro, forró, sertanejo, arrocha, brega, tecnobrega, agronejo, sertanejo universitário","Country, Latin",Piseiro 2020 Ao Vivo,2020-10-15,2JTir3y1VuJQmexiTCMcTP,15852422,5Lv2GUVwqmQBPwrTrxucE5
Vida de Rico,Camilo,colombian pop,Pop,Mis Manos,2021-03-04,4nTduFjaTmGysc9WKNuCcs,87664860,28gNT5KBp7IjEOQoevXf9N
La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers","reggaeton, latin, colombian pop, urbano latino, trap latino","Pop, Latin",Dopamina,2021-04-09,5VzNsUnLmYcRfRfxpQsusa,181027842,"0tmwSHipWxN12fsoLcFU3B, 1mcTU81TzQhprhouKaTkpq, 7iK8PXO48WeuP03g8YR51W"
Don't Start Now,Dua Lipa,pop,Pop,Future Nostalgia,2020-03-27,3PfIrDoz19wz7qK7tYeu62,483512272,6M2wZ9GZgrQXHCFfjv46we
Chica Ideal,"Sebastian Yatra, Guaynaa","colombian pop, reggaeton, latin","Pop, Latin",Chica Ideal,2020-10-16,21N4Buj4xsyLb218lYle61,117105323,"07YUOmWljBTXwIseAUd9TW, 0BqURncJM5B1BBu7UM51eq"
willow,Taylor Swift,,,evermore,2020-12-10,3Uo7WG0vmLQ07WB4BDwy7D,137152845,06HL4z0CvFAxyc27GXpf02
La Tóxica,Farruko,"reggaeton, trap latino, latin",Latin,La Tóxica,2020-07-24,15OjBeqNX3bShsGYQbteRv,87277217,329e4yvIujISKGKz1BZZbO
Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko","reggaeton, urbano latino, latin, trap latino",Latin,Relación (Remix),2020-09-04,35UUpTmrcFXNIVIN26ujXl,112660860,"77ziqFxp5gaInVrF2lj4ht, 4VMYDCV2IEDYJArk749S6m, 1vyhD5VmyZ7KMfW5gqLgo5, 7ltDVBr6mKbRvohxheJ9h1, 329e4yvIujISKGKz1BZZbO"
you broke me first,Tate McRae,,,you broke me first,2020-04-17,45bE4HXI0AwGZXfZtMp8JR,412234217,45dkTj5sMRSjrmBSBeiHym
For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby","brooklyn drill, drill, new york drill, ",Hip Hop,Shoot For The Stars Aim For The Moon,2020-07-03,0PvFJmanyNQMseIFrU708S,241433418,"0eDvMgVFoNV3TpwtrVCoTj, 5f7VJjfbwm532GiveGC0ZK, 4r63FhuTkUYltbVAg5TQnk"
Lonely (with benny blanco),"Justin Bieber, benny blanco",,,Justice,2021-03-19,3S8jK1mGzQi24ilFb45DAZ,180079717,"1uNFoZAHBGtllmzznpCI3s, 5CiGnKThu5ctn9pBxv7DGa"
Snowman,Sia,,,Everyday Is Christmas (Deluxe Edition),2018-11-01,7uoFMmxln0GPXQ0AcCBXRq,186476568,5WUlDfRSoLAfcVSX1WnrxN
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",,,Savage Love (Laxed - Siren Beat),2020-06-11,1xQ6trAsedVPCdbtDAmk0c,169987518,"56mfhUDKa1vec6rSLZV5Eg, 07YZf4WDAMNwqr4jfgOZ8y"
