song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,yearly_streams,artist_ids
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",,,F*CK LOVE 3+: OVER YOU,2021-07-27,567e29TDzLwZwfDuEpGTwo,1005128091,"2tIP7SsRs7vjIcLrU85W8J, 1uNFoZAHBGtllmzznpCI3s"
abcdefu,GAYLE,,,abcdefu,2021-08-13,4fouWK6XVHhzl78KzQ1UjL,586840157,2VSHKHBTiXWplO8lxcnUC9
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU","pop, ",Pop,The Lockdown Sessions,2021-10-22,6JIC3hbC28JZKZ8AlAqX8h,864611721,"3PhoLpVuITZKcymswpck5b, 6M2wZ9GZgrQXHCFfjv46we, 6n28c9qs9hNGriNa72b26u"
Heat Waves,Glass Animals,,,Dreamland,2020-08-07,3USxtqRwSYz57Ewm6wWRMp,1170100656,4yvcSjfu4PC0CYQyLy4wSq
Pepas,Farruko,"reggaeton, trap latino, latin",Latin,La 167,2021-10-01,2B4GHvToeLTOBB4QLzW3Ni,508677337,329e4yvIujISKGKz1BZZbO
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",,,MONTERO,2021-09-17,5Z9KJZvQzH6PFmb8SNkxuk,722676936,"7jVv8c5Fj3E9VhNjxT4snq, 2LIk90788K0zvyj2JJVwkJ"
Easy On Me,Adele,soft pop,Pop,30,2021-11-19,46IZ0fSY2mpAiktS3KOqds,637092540,4dpARuHxo51G3z768sgnrY
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",,,Mercury - Acts 1 & 2,2022-07-01,3CIyK1V4JEJkg02E4EJnDl,788791877,"53XhwfbYqKCa1cC15pYq2q, 6U3ybJ9UHNKEdsH7ktGBZ7, 57nPqD7z62gDdq37US9XJR, 47mIJdHORyRerp4os813jD"
Do It To It,"ACRAZE, Cherish","tech house, ",Electronic,Do It To It,2021-08-20,20on25jryn53hWghthWWW3,323722765,"4pnp4w9g30yLfVIAFnZMRd, 1c70yCa8sRgIiQxl3HOEFo"
Bad Habits,Ed Sheeran,soft pop,Pop,= (Tour Edition),2020-00-00,6ex1Pz3pntgy4NPtxHXN2V,540144460,6eUKZXaKkcviH0Ku9w2n3V
Shivers,Ed Sheeran,soft pop,Pop,= (Tour Edition),2020-00-00,3xWGA8pa0IKFI7IMPri4P0,657032899,6eUKZXaKkcviH0Ku9w2n3V
good 4 u,Olivia Rodrigo,,,SOUR,2021-05-21,4ZtFanR9U6ndgddUvNcjcG,492803612,1McMsnEElThX1knmY4oliG
Woman,Doja Cat,,,Planet Her,2021-06-25,6Uj1ctrBOjOas8xZXGqKk4,598645502,5cj0lLjcoR7YOSnhnX0Po5
Kiss Me More (feat. SZA),"Doja Cat, SZA",r&b,R&B,Planet Her,2021-06-25,3DarAbFujv6eYNliUTyqtz,381647404,"5cj0lLjcoR7YOSnhnX0Po5, 7tYKF4w9nC0nq9CsPZTHyP"
Blinding Lights,The Weeknd,,,After Hours,2020-03-20,0VjIjW4GlUZAMYd2vXMi3b,612434139,1Xyo4u8uXC1ZmMpatF05PJ
My Universe,"Coldplay, BTS",k-pop,Pop,Music Of The Spheres,2021-10-15,46HNZY1i7O6jwTA7Slo2PI,489249619,"4gzpq5DPGxSnKTe4SA8HAU, 3Nrfpe0tUJi4K4DXYWgMUX"
Yonaguni,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,Yonaguni,2021-06-04,2JPLbjOn0wPCngEot2STUS,456767895,4q3ewBCX7sLwd24euuV69X
MONTERO (Call Me By Your Name),Lil Nas X,,,MONTERO,2021-09-17,1SC5rEoYDGUK4NfG82494W,286633445,7jVv8c5Fj3E9VhNjxT4snq
Toma Toma Vapo Vapo,"Zé Felipe, Mc Danny","piseiro, sertanejo, arrocha, agronejo, forró, sertanejo universitário, brega funk, brega, funk","Country, Pop, R&B, Latin",Toma Toma Vapo Vapo,2021-11-11,5VTjBl3ddZEiG2LrH4VzyR,26481047,"7cmuxPnXRJxwuYDHfbD8Eu, 3PZTvUS5fUUhV3EKAjqdZk"
Levitating (feat. DaBaby),"Dua Lipa, DaBaby","pop, ",Pop,Future Nostalgia,2020-03-27,5nujrmhLynf4yMoMtj8AQF,430964868,"6M2wZ9GZgrQXHCFfjv46we, 4r63FhuTkUYltbVAg5TQnk"
Infinity,Jaymes Young,,,Feel Something,2017-06-23,1SOClUWhOi8vHZYMz3GluK,373774912,6QrQ7OrISRYIfS5mtacaw2
love nwantiti (ah ah ah),CKay,"afrobeats, afrobeat, afropop","Traditional music, R&B, Pop",CKay The First,2019-08-30,2Xr1dTzJee307rmrkt8c0g,209055879,048LktY5zMnakWq7PTtFrz
Vai Lá Em Casa Hoje,"George Henrique & Rodrigo, Marília Mendonça","sertanejo, sertanejo universitário, agronejo, arrocha, forró","Country, Latin",Vai Lá Em Casa Hoje,2021-10-22,2wSCalnGOnXdAJC0Fn8OUY,55333335,"3FlCKtwOEYQQYyGVEbxG2Z, 1yR65psqiazQpeM79CcGh8"
Beggin',Måneskin,,,Chosen,2017-12-08,3Wrjm47oTz2sjIgck11l5e,281881810,0lAWpj5szCSwM4rUMHYmrr
Need to Know,Doja Cat,,,Planet Her,2021-06-25,3Vi5XqYrmQgOYBajMWSvCi,306259528,5cj0lLjcoR7YOSnhnX0Po5
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas","reggaeton, trap latino, latin, urbano latino, latin pop, latin rock","Latin, Pop, Rock",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,4gzsuuZypVbxs0Af1LSZyB,392546388,"0GM7qgcRCORpGnfcN2tCiB, 4q3ewBCX7sLwd24euuV69X, 2QWIScpFDNxmS6ZEMIUvgm"
Todo De Ti,Rauw Alejandro,"reggaeton, urbano latino, trap latino, latin",Latin,VICE VERSA,2021-12-10,3rdAz1fbUfZxYgaCviYhRo,217658715,1mcTU81TzQhprhouKaTkpq
Ameaça,"Paulo Pires, Mc Danny, Marcynho Sensação","piseiro, forró, arrocha, sertanejo, brega funk, brega, funk","Country, Pop, R&B, Latin",Ameaça,2021-10-14,4fSHADbZbhpZCT9oJpxwbP,13559869,"3whgFbrRxsOmYVrq3t4hCY, 3PZTvUS5fUUhV3EKAjqdZk, 4dnPDc045bVjibyATxVUOs"
Ghost,Justin Bieber,,,Justice,2021-03-19,6I3mqTwhRpn34SLVafSH7G,665651309,1uNFoZAHBGtllmzznpCI3s
MONEY,LISA,k-pop,Pop,LALISA,2021-09-10,7hU3IHwjX150XLoTVmjD0q,139472133,5L1lO4eRHmJ7a0Q6csE5cT
We Don't Talk About Bruno,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",,,Encanto (Original Motion Picture Soundtrack),2021-11-19,52xJxFP6TqMuO4Yt0eOkMz,255883730,"4zonL9YdcI15v7dYqVLuMV, 36CUTsdtNgCwMq6zKD1l8I, 72kqSqk124Vnl1wtT6q9Fh, 2as15AH2BTrPk8v4gyElmr, 18MFcGBHtyW0mU3ufcm0X1, 5PYToRCsrnvikZg3yl2JMr, 3xLU748QxpTmIVaiNXXg0P"
Esqueça-Me Se For Capaz,"Marília Mendonça, Maiara & Maraisa","sertanejo, sertanejo universitário, arrocha, forró, piseiro","Country, Latin",Festa das Patroas 35%,2021-10-14,4qsOrxBv09HhNSpsgMRXdC,34224269,"1yR65psqiazQpeM79CcGh8, 59jlthNnbmim5l9tmNA7se"
DÁKITI,"Bad Bunny, JHAYCO","reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,4MzXwWMhyBbmu6hOcLVD49,317285047,"4q3ewBCX7sLwd24euuV69X, 6nVcHLIgY5pE2YCl8ubca1"
Where Are You Now,"Lost Frequencies, Calum Scott","tropical house, soft pop","Pop, Electronic",All Stand Together,2023-11-10,3mfER4ORePHvN35cbZ3dkV,534655160,"7f5Zgnp2spUuuzKplmRkt7, 6ydoSd3N2mwgwBHtF6K7eX"
THATS WHAT I WANT,Lil Nas X,,,MONTERO,2021-09-17,0e8nrvls4Qqv5Rfa2UhqmO,442650204,7jVv8c5Fj3E9VhNjxT4snq
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago PZK","argentine trap, trap latino, urbano latino","Hip Hop, Latin","Tiago PZK: Bzrp Music Sessions, Vol. 48",2021-12-29,2Gq636OOGgxCTqEuzCZhsa,167282958,"716NhGYqD1jl2wI1Qkgq36, 5Y3MV9DZ0d87NnVm56qSY1"
Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",pop,Pop,Save Your Tears (Remix),2021-04-23,37BZB0z9T8Xu7U3e65qxFy,107002855,"1Xyo4u8uXC1ZmMpatF05PJ, 66CXWjxzNUsdJxJ2JdwvnR"
Malvadão 3,"Xamã, Gustah, Neo Beats, Bagua Records","brazilian hip hop, brazilian trap, trap, trap funk","Hip Hop, Electronic",Malvadão 3,2021-11-30,0NBgyml7T0IvUNbXIkcSpH,123444927,"5YwzDz4RJfTiMHS4tdR5Lf, 0nzfP49X2nrzmmkwZf180L, 6PERJZF7wohA034PAxDK0b, 2450WxbFxHjnttFAv31zGk"
Mon Amour - Remix,"zzoilo, Aitana","latin pop, ",Pop,Mon Amour (Remix),2021-08-18,5TMLavqGRKNxgzMBrVpC9R,227040026,"7c53ZFyajVMTo08HmvoB6b, 7eLcDZDYHXZCebtQmVFL25"
Parada Louca,"Mari Fernandez, Marcynho Sensação","piseiro, sertanejo, forró, arrocha, agronejo, sertanejo universitário, brega","Country, Latin",Parada Louca,2021-10-29,72g37RoelSnovZakG5MwnF,18012541,"0BHm7qbh3ENxvXzkQAG7MP, 4dnPDc045bVjibyATxVUOs"
Arranhão - Ao Vivo,Henrique & Juliano,"sertanejo, sertanejo universitário, arrocha, agronejo","Country, Latin",Manifesto Musical (Ao Vivo / Vol. 1),2021-12-10,3IMLoeLerS7TMpKjxUgAhx,11729071,3p7PcrEHaaKLJnPUGOtRlT
Coração Cachorro,"Avine Vinny, Matheus Fernandes","piseiro, forró, sertanejo, arrocha, sertanejo universitário, pagode","Country, Latin",Coração Cachorro,2021-09-10,2RGIuYTsyyHoOCqW0krvNE,2170069,"4KDxYlnGZEiS60pAnfZf4W, 37mqXU98U5GmH5ZDtlHM1c"
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,,,Red (Taylor's Version),2021-11-12,5enxwA8aAbwZbf5qCHORXi,106208169,06HL4z0CvFAxyc27GXpf02
One Right Now (with The Weeknd),"Post Malone, The Weeknd",,,Twelve Carat Toothache,2022-06-03,1nltpRhEiXikwDlVn4UADk,212279370,"246dkjvS1zLTtiykXe5h60, 1Xyo4u8uXC1ZmMpatF05PJ"
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",,,An Evening With Silk Sonic,2021-11-11,7sMBvZCSUl99bJLXZaLa0b,60144740,"0du5cEVh5yTK9QJze8zA0C, 3jK9MiCrA42lLAdMGUZpwa, 6PvvGcCY2XtUcSRld1Wilr"
GALOPA,PEDRO SAMPAIO,"funk, funk pop, brazilian funk, funk carioca, brega funk, brazilian pop","Hip Hop, Pop, R&B",CHAMA MEU NOME,2022-02-02,3gK5ckT0cq3t5enyqzzRgV,12186161,5wbf52LA6kcaboHSN6NEF1
I Love You So,The Walters,,,I Love You So,2014-11-28,4SqWKzw0CbA05TGszDgMlc,490218370,027TpXKGwdXP7iwbjUSpV8
Volví,"Aventura, Bad Bunny","bachata, bachata pop, reggaeton, trap latino, latin, urbano latino","Latin, Pop",Volví,2021-08-03,2vmfvSoZBFAt9hhRoEByLi,147713593,"1qto4hHid1P71emI6Fd8xi, 4q3ewBCX7sLwd24euuV69X"
Butter,BTS,k-pop,Pop,Proof,2022-06-10,6jjYDGxVJsWS0a5wlVF5vS,222099002,3Nrfpe0tUJi4K4DXYWgMUX
Toxic,BoyWithUke,,,Serotonin Dreams,2022-05-06,3M214U0mwSm041GsQR3nrO,198547949,1Cd373x8qzC7SNUg5IToqp
Bloqueado - Ao Vivo,Gusttavo Lima,"sertanejo, sertanejo universitário, arrocha, agronejo, piseiro, forró","Country, Latin",Buteco in Boston (Ao Vivo),2021-12-16,6nkoWsFZeFt5dUdNmlIceh,45404370,7MiDcPa6UiV3In7lIM71IN
Happier Than Ever,Billie Eilish,,,Happier Than Ever,2021-07-30,4RVwu0g32PAqgUiJoXsdF8,404623485,6qqNVTkY8uBg9cP3Jd7DAH
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,"CKay, Dj Yo!, AX'EL","afrobeats, afrobeat, afropop, ","Traditional music, R&B, Pop",love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,4gvrJnKCKIPiacNsWVQwEU,87200510,"048LktY5zMnakWq7PTtFrz, 7iTLGcddv1bOPirdYJjKVy, 5fUXK5m3BNwoRgTyKq8tnz"
