song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,yearly_streams,artist_ids
Starboy,"The Weeknd, Daft Punk","french house, electronic, electro","Hip Hop, Electronic",Starboy,2016-11-25,7MXVkk9YMctZqd1Srtv4MB,452383996,"1Xyo4u8uXC1ZmMpatF05PJ, 4tZwfgrHOc3mvqYlEYSvVi"
Closer,"The Chainsmokers, Halsey",,,Closer,2016-07-29,7BKLCZ1jbUBVqRi2FVlTVw,468062772,"69GGBxA162lTqCwzJG5jLp, 26VFTg2z8YR0cCuwLzESi2"
Let Me Love You,"DJ Snake, Justin Bieber",,,Encore,2016-08-05,0lYBSQXN6rCTvUZvg9S0lU,319918064,"540vIaP2JwjQb9dm3aArA4, 1uNFoZAHBGtllmzznpCI3s"
Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Anne-Marie, Sean Paul",dancehall,Traditional music,Rockabye (feat. Sean Paul & Anne-Marie),2016-10-21,5knuzwU65gJK7IF5yJsuaW,499239673,"6MDME20pz9RveH9rEXvrOM, 1zNqDE7qDGCsyzJwohVaoX, 3Isy6kedDrgPYoTS1dazA9"
One Dance,"Drake, Wizkid, Kyla","rap, hip hop, afrobeats, afrobeat, afropop, azonto, afroswing, afropiano, dancehall, ","Traditional music, R&B, Pop, Hip Hop",Views,2016-05-06,1zi7xx7UVEFkmKfv06H8x0,343390041,"3TVXtAsR1Inumwj472S9r4, 3tVQdUvClmAT7URs9V3rsp, 6TK7fjRPdy2GW2pJzNF23L"
Fake Love,Drake,"rap, hip hop",Hip Hop,More Life,2017-03-18,343YBumqHu19cGoGARUTsd,298664901,3TVXtAsR1Inumwj472S9r4
24K Magic,Bruno Mars,,,24K Magic,2016-11-17,6b8Be6ljOzmkOmFslEb23P,299211239,0du5cEVh5yTK9QJze8zA0C
Don't Wanna Know,"Maroon 5, Kendrick Lamar","pop, hip hop, west coast hip hop","Hip Hop, Pop",Don't Wanna Know,2016-10-11,5MFzQMkrl1FOOng9tq6R9r,239876449,"04gDigrS5kc9YWfZHwBETP, 2YZyLoL8N0Wb9xBt1NhZWg"
Black Beatles,"Rae Sremmurd, Gucci Mane","southern hip hop, rap, trap",Hip Hop,SremmLife 2 (Deluxe),2016-08-12,6fujklziTHa8uoM5OQSfIo,167247813,"7iZtZyCzp3LItcw1wtPI3D, 13y7CgLHjMVRMDqxdx0Xdo"
I Feel It Coming,"The Weeknd, Daft Punk","french house, electronic, electro","Hip Hop, Electronic",Starboy,2016-11-24,5GXAXm5YOmYT0kL5jHvYBt,449753005,"1Xyo4u8uXC1ZmMpatF05PJ, 4tZwfgrHOc3mvqYlEYSvVi"
Chantaje (feat. Maluma),"Shakira, Maluma","latin pop, latin, reggaeton, urbano latino","Latin, Pop",El Dorado,2017-05-26,6mICuAdrwEjh6Y6lroV2Kg,335083400,"0EmeFodog0BfCgMzAIvKQp, 1r4hJ1h58CWwUQe3MxPuau"
I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",,,I Don’t Wanna Live Forever (Fifty Shades Darker),2016-12-09,3NdDpSvN911VPGivFlV5d0,574444903,"5ZsFI1h6hIdQRw2ti0hz81, 06HL4z0CvFAxyc27GXpf02"
Say You Won't Let Go,James Arthur,soft pop,Pop,Back from the Edge,2016-10-28,5uCax9HTNlzGybIStD3vDh,485446247,4IWBUUAFIplrNtaOHcJPRM
Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert","trap, melodic rap",Hip Hop,Culture,2017-04-07,4Km5HrUvYTaSUfiSGPJeQR,357098936,"6oMuImdp5ZcFhWP0ESe6mG, 4O15NlyKLIASxsJ0PrXPfz"
Cold Water (feat. Justin Bieber & MØ),"Major Lazer, Justin Bieber, MØ","moombahton, ",Electronic,Cold Water (feat. Justin Bieber & MØ),2016-07-22,6DNtNfH8hXkqOX1sjqmI7p,215042631,"738wLrAtLtCtFOLvQBXOXp, 1uNFoZAHBGtllmzznpCI3s, 0bdfiayQAKewqEvaU6rXCv"
In the Name of Love,"Martin Garrix, Bebe Rexha","edm, electronica, progressive house, ",Electronic,The Martin Garrix Collection,2017-04-21,04DwTuZ2VBdJCCC5TROn7L,216649184,"60d24wfXkVzDSfLS6hyCjZ, 64M6ah0SkkRsnPGtGiRAbb"
Side To Side,"Ariana Grande, Nicki Minaj","pop, ",Pop,Dangerous Woman,2016-04-01,44ONERBHALxftQNWq6dmyd,222782275,"66CXWjxzNUsdJxJ2JdwvnR, 0hCNtLu0JehylgoiP8L4Gh"
Call On Me - Ryan Riback Extended Remix,"Starley, Ryan Riback",melbourne bounce,Electronic,Call On Me (Remixes),2016-10-14,78rIJddV4X0HkNAInEcYde,361886142,"02A3cEvlLLCbIMVDrK2GHV, 33JQK4UoS2aMPYBfdB5Ftt"
CAN'T STOP THE FEELING! (from DreamWorks Animation's  TROLLS ),Justin Timberlake,,,CAN'T STOP THE FEELING! (from DreamWorks Animation's  TROLLS ),2016-05-06,6JV2JOEocMgcZxYSZelKcc,198589784,31TPClRtHm23RisEBtV3X7
Don't Let Me Down,"The Chainsmokers, Daya",,,The Chainsmokers- Japan Special Edition,2016-08-10,0QsvXIfqM0zZoerQfsI9lm,229327156,"69GGBxA162lTqCwzJG5jLp, 6Dd3NScHWwnW6obMFbl1BH"
Treat You Better,Shawn Mendes,pop,Pop,Illuminate,2017-04-20,3QGsuHI8jO1Rx4JWLUh9jd,223982830,7n2wHs1TKAczGzO7Dd2rGr
Just Hold On,"Steve Aoki, Louis Tomlinson","electro house, edm, ",Electronic,Just Hold On,2016-12-10,3EmmCZoqpWOTY1g2GBwJoR,196264899,"77AiFEVeAVj2ORpC85QVJs, 57WHJIHrjOE3iAxpihhMnp"
My Way,Calvin Harris,edm,Electronic,My Way,2016-09-16,1vvNmPOiUuyCbgWmtc6yfm,144228211,7CajNmpbOovFoOoasH2HaY
Starving,"Hailee Steinfeld, Grey, Zedd",edm,Electronic,HAIZ,2016-08-19,6875MeXyCW0wLyT72Eetmo,241294828,"5p7f24Rk5HkUZsaS3BLG5F, 4lDBihdpMlOalxy1jkUbPl, 2qxJFvFYMEDqd7ui6kSAcq"
Bad Things (with Camila Cabello),"mgk, Camila Cabello",pop,Pop,bloom,2017-05-12,1PSBzsahR2AKwLJgx8ehBj,177175086,"6TIYQ3jFPwQSRmorSezPxX, 4nDoRrQiYLoBzwC5BhVJzF"
Heathens,Twenty One Pilots,,,Heathens,2016-06-16,6i0V12jOa3mr6uu4WYhUBr,168062909,3YQKmKGau1PzlVlkL1iodx
Cheap Thrills,Sia,,,This Is Acting,2016-01-29,27SdWb2rFzO6GWiYDBTD9j,145061910,5WUlDfRSoLAfcVSX1WnrxN
All We Know,"The Chainsmokers, Phoebe Ryan",,,All We Know,2016-09-29,2rizacJSyD9S1IQUxUxnsK,106445748,"69GGBxA162lTqCwzJG5jLp, 4N874uPqBka1QiCvnCVOtr"
Mercy,Shawn Mendes,pop,Pop,Illuminate,2017-03-03,4TZy1wLyHec06pwgFYDh1a,196669467,7n2wHs1TKAczGzO7Dd2rGr
Reggaetón Lento (Bailemos),CNCO,"reggaeton, latin",Latin,Primera Cita,2016-08-26,3AEZUABDXNtecAOSC1qTfo,225770154,0eecdvMrqBftK0M1VKhaF4
Broccoli (feat. Lil Yachty),"DRAM, Lil Yachty",,,Big Baby DRAM,2016-10-21,7yyRTcZmCiyzzJlNzGC9Ol,129824277,"5M0lbkGluOPXLeFjApw8r8, 6icQOAFXDZKsumw3YXyusw"
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",,,"At Night, Alone.",2016-05-06,17Fd6Yb7mSbinKG8LoWfFl,160927946,"2KsP6tYLJlTBvSUxnwlVWa, 5iNrZmtVMtYev5M9yoWpEq"
Safari,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo","reggaeton, latin",Latin,Energía,2016-06-24,6rQSrBHf7HlZjtcMZ4S4bO,152002648,"1vyhD5VmyZ7KMfW5gqLgo5, 2RdwBSPQiwcmiDo9kixcl8, 6veh5zbFpm31XsPdjBgPER, 51XrH5fQP2oIQynuKxSWcW"
This Is What You Came For,"Calvin Harris, Rihanna","edm, ",Electronic,96 Months,2024-08-08,2vlDrKpOC0eSTqTDRcbYyw,116397108,"7CajNmpbOovFoOoasH2HaY, 5pKCCKE2ajJHZ9KAiaK11H"
Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign","pop, ",Pop,7/27 (Deluxe),2016-05-27,4tCtwWceOPWzenK2HAIJSb,118813660,"1l8Fu6IkuTP0U5QetQJ5Xt, 7c0XG5cIJTrrAgEC3ULPiq"
Scars To Your Beautiful,Alessia Cara,,,Know-It-All (Deluxe),2015-11-13,0prNGof3XqfTvNDxHonvdK,123627641,2wUjUUtkb5lvLKcGKsKqsR
Vente Pa' Ca (feat. Maluma),"Ricky Martin, Maluma","latin pop, latin, reggaeton, urbano latino","Latin, Pop",Vente Pa' Ca (feat. Maluma),2016-09-22,7DM4BPaS7uofFul3ywMe46,144075507,"7slfeZO9LsJbWgpkIoXBUJ, 1r4hJ1h58CWwUQe3MxPuau"
All Night,"The Vamps, Matoma",tropical house,Electronic,Night & Day (Night Edition),2017-07-14,4b4KcovePX8Ke2cLIQTLM0,188101532,"7gAppWoH7pcYmphCVTXkzs, 4YXycRbyyAE0wozTk7QMEq"
By Your Side,"Jonas Blue, RAYE","tropical house, ",Electronic,By Your Side,2016-10-28,1D3ODoXHBLpdxolZRHWV1j,100672131,"1HBjj22wzbscIZ9sEb5dyf, 5KKpBU5eC2tJDzf0wmlRp2"
We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez","soft pop, pop",Pop,Nine Track Mind (Special Edition),2015-11-05,54PbBpquVfhfrwRwvjSXbI,217288484,"6VuMaDnrHyPL1p4EHjYLi7, 0C8ZW7ezQVs4URX5aX7Kqx"
Caroline,Aminé,,,Good For You,2017-07-28,5hTpBe8h35rJ67eAWHQsJx,106471923,3Gm5F95VdRxW3mqCn8RPBJ
Now and Later,Sage The Gemini,hyphy,Hip Hop,Morse Code,2017-07-21,08WPvDEsHvTFuB9w8tC2OS,103051504,6d47Z08T4snK50HgTEHo5Z
Love Me Now,John Legend,"soft pop, neo soul","R&B, Pop",DARKNESS AND LIGHT,2016-12-02,6nxQdXa1uAL0rY72wPZu89,87878043,5y2Xq6xcjJb2jVM54GHK3t
The Mack,"Nevada, Mark Morrison, Fetty Wap",,,The Mack,2016-09-23,7aV2mflaASUmGhCErm7kBO,47209301,"15NtJjjHRFybdNSMyM9smT, 6V3F8MZrOKdT9fU686ybE9, 6PXS4YHDkKvl1wkIl4V8DL"
Alone,Alan Walker,,,Alone,2016-12-02,0JiVRyTJcJnmlwCZ854K4p,102394666,7vk5e3vY1uw9plTHJAMwjN
Work,"Rihanna, Drake","rap, hip hop",Hip Hop,ANTI (Deluxe),2016-01-28,72TFWvU3wUYdUuxejTTIzt,48621172,"5pKCCKE2ajJHZ9KAiaK11H, 3TVXtAsR1Inumwj472S9r4"
Otra vez (feat. J Balvin),"Zion & Lennox, J Balvin","reggaeton, latin",Latin,Motivan2,2016-09-30,3QwBODjSEzelZyVjxPOHdq,245513141,"21451j1KhjAiaYKflxBjr1, 1vyhD5VmyZ7KMfW5gqLgo5"
I Would Like,Zara Larsson,,,So Good,2017-03-17,4Q4jmPHwu0wrJvqrld0FQ6,99926084,1Xylc3o4UrD53lo9CvFvVg
Hear Me Now,"Alok, Bruno Martini, Zeeba","brazilian bass, electronic, slap house, electro house, brazilian pop, ","Electronic, Pop",Hear Me Now,2016-01-01,1a5Yu5L18qNxVhXx38njON,202558743,"0NGAZxHanS9e0iNHpR8f2W, 5veVxxPm1vzgi6pO2iVA8L, 7qPLO2XOUaRrRxkvLZ3AEK"
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes","tropical house, edm, dance, ",Electronic,Shed a Light,2016-11-25,1cG0umU5TKStygKsPFZ9pY,158816678,"3t5xRXzsuZmMDkQzgOX35S, 1Cs0zKBU1kc0i8ypK3B9ai, 7DMveApC7UnC2NPfPvlHSU"
Bounce Back,Big Sean,,,I Decided.,2017-02-03,0SGkqnVQo9KPytSri1H6cF,251903291,0c173mlxpT3dSFRgMO8XPh
Love Yourself,Justin Bieber,,,Purpose (Deluxe),2015-11-13,50kpGaPAhYJ3sGmk6vplg0,176451369,1uNFoZAHBGtllmzznpCI3s
Cake By The Ocean,DNCE,,,DNCE,2016-11-18,2aFiaMXmWsM3Vj72F9ksBl,69619180,6T5tfhQCknKG4UnH90qGnz
Party Monster,The Weeknd,,,Starboy,2016-11-25,4F7A0DXBrmUAkp32uenhZt,82755055,1Xyo4u8uXC1ZmMpatF05PJ
Sorry,Justin Bieber,,,Purpose (Deluxe),2015-11-13,09CtPGIpYB4BrO8qb1RGsF,115531430,1uNFoZAHBGtllmzznpCI3s
Ride,Twenty One Pilots,,,Blurryface,2015-05-15,2Z8WuEywRWYTKe1NybPQEW,125024522,3YQKmKGau1PzlVlkL1iodx
La Bicicleta,"Carlos Vives, Shakira","colombian pop, vallenato, latin, latin pop","Pop, Latin",El Dorado,2017-05-26,0sXvAOmXgjR2QUqLK1MltU,80191969,"4vhNDa5ycK0ST968ek7kRr, 0EmeFodog0BfCgMzAIvKQp"
Perfect Strangers,"Jonas Blue, JP Cooper","tropical house, ",Electronic,Jonas Blue: Electronic Nature - The Mix 2017,2017-07-14,5bZtRlMBU76vHuDOb1GM5u,114510560,"1HBjj22wzbscIZ9sEb5dyf, 4kYGAK2zu9EAomwj3hXkXy"
Panda,Desiigner,,,New English,2016-06-26,5OOkp4U9P9oL23maHFHL1h,104888588,7pFeBzX627ff0VnN6bxPR4
Too Good,"Drake, Rihanna","rap, hip hop, ",Hip Hop,Views,2016-05-06,11KJSRSgaDxqydKYiD2Jew,64487668,"3TVXtAsR1Inumwj472S9r4, 5pKCCKE2ajJHZ9KAiaK11H"
How Far I'll Go - From  Moana ,Alessia Cara,,,How Far I'll Go (From  Moana ),2016-10-28,5hYTyyh2odQKphUbMqc5gN,241253826,2wUjUUtkb5lvLKcGKsKqsR
Sexual,"NEIKED, Dyo",,,Sexual,2016-08-26,3AsAuGTaDQzavZZThyYlop,55455250,"5H6xmHXjsq98NLbEjuE29f, 4H1PNuHElBLVok0lnYMrRb"
Into You,Ariana Grande,pop,Pop,Dangerous Woman,2016-04-01,76FZM38RC8XaAjJ77CVTNe,51759506,66CXWjxzNUsdJxJ2JdwvnR
Stressed Out,Twenty One Pilots,,,Blurryface,2015-05-15,3CRDbSIZ4r5MsZ0YwxuEkn,129308028,3YQKmKGau1PzlVlkL1iodx
Deja Vu,J. Cole,rap,Hip Hop,4 Your Eyez Only,2016-12-09,6I6NX6tjGsxFAsIfGzY9lJ,46097075,6l3HvQ5sa6mXTsMTB19rO5
Shaky Shaky,Daddy Yankee,"reggaeton, latin",Latin,Shaky Shaky,2016-04-08,58IL315gMSTD37DOZPJ2hf,35920139,4VMYDCV2IEDYJArk749S6m
Faded,Alan Walker,,,Faded,2015-12-04,7gHs73wELdeycvS48JfIos,141803257,7vk5e3vY1uw9plTHJAMwjN
The Greatest (feat. Kendrick Lamar),"Sia, Kendrick Lamar","hip hop, west coast hip hop",Hip Hop,This Is Acting (Deluxe Version),2016-10-21,7xHWNBFm6ObGEQPaUxHuKO,60265676,"5WUlDfRSoLAfcVSX1WnrxN, 2YZyLoL8N0Wb9xBt1NhZWg"
Controlla,Drake,"rap, hip hop",Hip Hop,Views,2016-05-06,6F609ICg9Spjrw1epsAnpa,53310982,3TVXtAsR1Inumwj472S9r4
Light It Up (feat. Nyla & Fuse ODG) - Remix,"Major Lazer, Nyla, Fuse ODG","moombahton, dancehall, azonto, afrobeats, hiplife","R&B, Traditional music, Electronic",Peace Is The Mission: Extended,2015-06-01,0L7loeTIg6akW84aEQZpCT,53238679,"738wLrAtLtCtFOLvQBXOXp, 4VZY0nxYMSNotbS7WjNVQy, 374sWpAJsbZckf98df2jJJ"
Traicionera,Sebastian Yatra,"colombian pop, reggaeton, latin","Pop, Latin",Traicionera,2016-06-24,5J1c3M4EldCfNxXwrwt8mT,114041993,07YUOmWljBTXwIseAUd9TW
X (feat. Future),"21 Savage, Metro Boomin, Future",rap,Hip Hop,Savage Mode,2016-07-15,6fwdbPMwP1zVStm8FybmkO,64512578,"1URnnhqYAYcrqrcwql10ft, 0iEtIxbK0KxaSlF7G42ZOp, 1RyvyyTE3xzB2ZywiAwp0i"
Send My Love (To Your New Lover),Adele,soft pop,Pop,25,2015-11-20,563SfWAHJs4FBZMkRN0IFN,37421408,4dpARuHxo51G3z768sgnrY
Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",,,Juju on That Beat (TZ Anthem),2016-09-30,1lItf5ZXJc1by9SbPeljFd,17030062,"7nKeLE1toRtW4M279iS26h, 5AsWcQXw4RJFRWBbwa0ti0"
DUELE EL CORAZON (feat. Wisin),"Enrique Iglesias, Wisin","latin pop, latin, reggaeton","Latin, Pop",DUELE EL CORAZON (feat. Wisin),2016-04-18,6YZdkObH88npeKrrkb8Ggf,32287323,"7qG3b048QCHVRO5Pv1T5lw, 3E6xrwgnVfYCrCs0ePERDz"
Hymn for the Weekend - Seeb Remix,"Coldplay, Seeb",,,A Head Full of Dreams Tour Edition,2015-12-04,1OAiWI2oPmglaOiv9fdioU,35139080,"4gzpq5DPGxSnKTe4SA8HAU, 5iNrZmtVMtYev5M9yoWpEq"
"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",,,us,2016-03-25,7vRriwrloYVaoAe3a9wJHe,68923893,"3iri9nBFs9e4wN7PLIetAw, 1QRj3hoop9Mv5VvHQkwPEp"
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne, Wiz Khalifa, Imagine Dragons, X Ambassadors, Logic, Ty Dolla $ign","rap, hip hop, ",Hip Hop,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),2016-06-24,4dASQiO1Eoo3RJvt74FtXB,82334201,"55Aa2cqylxrFIXC767Z865, 137W8MRPWKqSmrBGDBFSop, 53XhwfbYqKCa1cC15pYq2q, 3NPpFNZtSTHheNBaWC82rB, 4xRYI6VqpkE3UwrDrAZL8L, 7c0XG5cIJTrrAgEC3ULPiq"
Solo Dance,Martin Jensen,,,Solo Dance,2016-11-04,6HUnnBwYZqcED1eQztxMBN,325254856,4ehtJnVumNf6xzSCDk8aLB
Chill Bill (feat. J. Davi$ & Spooks),"Rob $tone, J. Davi$, J Spooks",,,Chill Bill (feat. J. Davi$ & Spooks),2016-06-17,5uDASfU19gDxSjW8cnCaBp,46235224,"2hWs22BmQkK4czFtDLnar2, 1rs3y69kDwkIdGJcOYngQt, 36Tn5h23ysORlLKc42UXfe"
Deu Onda,MC G15,"funk, brazilian funk","Hip Hop, R&B",Deu Onda,2016-12-15,0EPxmvsG1BY5td4aTOkWBF,11692125,3Nipsl6GVwwGyeAk0J29C6
The Ocean (feat. Shy Martin),"Mike Perry, shy martin","tropical house, ",Electronic,The Ocean (feat. Shy Martin),2016-04-15,2CPqh63wRVscbceKcPxwvv,31143066,"6lB8vOoI4DRrrVxXwuV19c, 7eCmccnRwPmRnWPw61x6jM"
Needed Me,Rihanna,,,ANTI (Deluxe),2016-01-28,4pAl7FkDMNBsjykPXo91B3,42327145,5pKCCKE2ajJHZ9KAiaK11H
Human,Rag'n'Bone Man,,,Human (Deluxe),2017-02-10,58zsLZPvfflaiIbNWoA22O,114263860,4f9iBmdUOhQWeP7dcAn1pf
Setting Fires,"The Chainsmokers, XYLØ",,,Setting Fires,2016-11-04,0B8B8cVRFIG1yznoQe7c9s,30659081,"69GGBxA162lTqCwzJG5jLp, 6ioOEWNNGK40H8xrGj6XPW"
The Greatest,Sia,,,This Is Acting (Deluxe Version),2016-10-21,6bLopGnirdrilrpdVB6Um1,13056039,5WUlDfRSoLAfcVSX1WnrxN
7 Years,Lukas Graham,,,Lukas Graham (Blue Album),2015-06-16,7129iqBafaphfc3WPCGC0L,73814019,25u4wHJWxCA9vO0CzxAbK7
This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",,,Layers,2016-11-04,0tICYNayWWhH9GPeFrfjfD,69089537,"7keGfmQR4X5w0two1xKZ7d, 726MxZBpkxnnoKl6aN7mmj"
Sneakin’,"Drake, 21 Savage","rap, hip hop, ",Hip Hop,Sneakin’,2016-10-24,4ckuS4Nj4FZ7i3Def3Br8W,47059379,"3TVXtAsR1Inumwj472S9r4, 1URnnhqYAYcrqrcwql10ft"
OOOUUU,Young M.A,,,Herstory,2017-04-27,7JYsArznYOjX2jsrT3UEnL,10791091,7LvoDJUNGnOrPdGRzVtOJ9
Trust Nobody (feat. Selena Gomez & Tory Lanez),"Cashmere Cat, Selena Gomez, Tory Lanez","pop, ",Pop,9,2017-04-28,2wDjpPW3HZdA9quPPmZAMu,23320260,"2LZDXcxJWgsJfKXZv9a5eG, 0C8ZW7ezQVs4URX5aX7Kqx, 2jku7tDXc6XoB6MO2hFuqg"
