spotify_track_id,song_name,artist_names,artist_ids,yearly_streams,parent_genres,genres,album,album_date,album_label,release_date,release_date_precision,album_type
2rPE9A1vEgShuZxxzR2tZH,"thank u, next",['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],142941148,Pop,pop,"thank u, next",2018-11-03,Universal Records,2018-11-03,day,single
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']","['246dkjvS1zLTtiykXe5h60', '1zNqQNIdeOUZHb8zbZRFMX']",693826404,,,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,Universal Records,2018-12-14,day,compilation
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","['DJ Snake', 'Selena Gomez', 'Ozuna', 'Cardi B']","['540vIaP2JwjQb9dm3aArA4', '0C8ZW7ezQVs4URX5aX7Kqx', '1i8SpTcr7yvPOmcqrbnVXY', '4kYSro6naA4h99UJvo89HB']",353713290,"Latin, Pop","pop, reggaeton, latin, trap latino, urbano latino, ","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,"DJ Snake Music Productions Limited, under exclusive license to Geffen Records",2018-09-28,day,single
6MWtB6iiXyIwun0YzU6DFP,Wow.,['Post Malone'],['246dkjvS1zLTtiykXe5h60'],615519053,,,Wow.,2018-12-24,Republic Records,2018-12-24,day,single
116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),"['Bad Bunny', 'Drake']","['4q3ewBCX7sLwd24euuV69X', '3TVXtAsR1Inumwj472S9r4']",385397401,"Hip Hop, Latin","reggaeton, trap latino, latin, urbano latino, rap, hip hop",MIA (feat. Drake),2018-10-11,OVO Sound/Warner Records,2018-10-11,day,single
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],458994547,Hip Hop,rap,ASTROWORLD,2018-08-03,Cactus Jack / Epic,2018-08-03,day,album
5p7ujcrUXASCNwRaWNHR1C,Without Me,['Halsey'],['26VFTg2z8YR0cCuwLzESi2'],605653817,,,Without Me,2018-10-04,Capitol Records,2018-10-04,day,single
25sgk305KZfyuqVBQIahim,Sweet but Psycho,['Ava Max'],['4npEfmQ6YuiwW1GpUmaq3F'],583092868,,,Sweet but Psycho,2018-08-17,Atlantic Records,2018-08-17,day,single
5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,"['Pedro Capó', 'Farruko']","['4QVBYiagIaa6ZGSPMbybpy', '329e4yvIujISKGKz1BZZbO']",591435651,"Latin, Pop","latin pop, latin, reggaeton, trap latino",Calma (Remix),2018-10-05,Sony Music Latin,2018-10-05,day,single
2dpaYNEQHiRxtZbfNsse99,Happier,"['Marshmello', 'Bastille']","['64KEffDW9EtZ1y2vBYgq8T', '7EQ0qTo7fWT7DPxmxtSYEc']",620829467,Electronic,"edm, ",Happier,2018-08-17,Astralwerks,2018-08-17,day,single
6FyRXC8tJUh863JCkyWqtk,Adan y Eva,['Paulo Londra'],['3vQ0GE3mI0dAaxIMYe5g7z'],248946391,"Hip Hop, Latin","argentine trap, trap latino, reggaeton",Adan y Eva,2018-11-05,WEA Latina,2018-11-05,day,single
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),"['Kodak Black', 'Offset', 'Travis Scott']","['46SHBwWsqBkxI7EeeBEQG7', '4DdkRBBYG6Yk9Ka8tdJ9BW', '0Y5tJX1MQlPlqiwlOH1tJY']",234743093,Hip Hop,rap,Dying to Live,2018-12-14,Atlantic Records,2018-12-14,day,album
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),"['Meek Mill', 'Drake']","['20sxb77xiYeusSH8cVdatc', '3TVXtAsR1Inumwj472S9r4']",424959272,Hip Hop,"rap, hip hop",Championships,2018-11-30,MMG/Atlantic,2018-11-30,day,album
1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,['Sheck Wes'],['2RDOrhPqAM4jzTRCEb19qX'],183562149,,,MUDBOY,2018-10-05,Cactus Jack Records/ G.O.O.D. Music/ Interscope Records,2018-10-05,day,album
